brand_id,brand_name,official_website,logo_svg_url,logo_png_url,license_source,approved,use_in_site,notes
brand-01,San Patric,https://www.alimentosconvenientes.com.mx/,/assets/brands/logos/san-patric.svg,/assets/brands/logos/san-patric.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para San Patric
brand-02,LambWeston,https://www.lambweston.com/,/assets/brands/logos/lambweston.svg,/assets/brands/logos/lambweston.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para LambWeston
brand-03,Marina Azul,https://marinaazul.com.mx/,/assets/brands/logos/marina-azul.svg,/assets/brands/logos/marina-azul.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Marina Azul
brand-04,Martins,https://potatorolls.com/,/assets/brands/logos/martins.svg,/assets/brands/logos/martins.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Martins
brand-05,Mondelez,https://www.mondelezinternational.com/,/assets/brands/logos/mondelez.svg,/assets/brands/logos/mondelez.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Mondelez
brand-06,Nutella,https://www.nutella.com/,/assets/brands/logos/nutella.svg,/assets/brands/logos/nutella.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Nutella
brand-07,Pilgrims,https://www.pilgrims.com/,/assets/brands/logos/pilgrims.svg,/assets/brands/logos/pilgrims.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Pilgrims
brand-08,Richs,https://www.richs.com/,/assets/brands/logos/richs.svg,/assets/brands/logos/richs.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Richs
brand-09,Heinz,https://www.heinz.com/,/assets/brands/logos/heinz.svg,/assets/brands/logos/heinz.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Heinz
brand-10,Al Minuto,https://alminuto.com.mx/,/assets/brands/logos/al-minuto.svg,/assets/brands/logos/al-minuto.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Al Minuto
brand-11,Cargill,https://www.cargill.com/,/assets/brands/logos/cargill.svg,/assets/brands/logos/cargill.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Cargill
brand-12,Covemex,https://covemex.com/,/assets/brands/logos/covemex.svg,/assets/brands/logos/covemex.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Covemex
brand-13,San Antonio,https://www.sanantonio.com.mx/,/assets/brands/logos/san-antonio.svg,/assets/brands/logos/san-antonio.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para San Antonio
brand-14,Sesajal,https://www.sesajal.com/,/assets/brands/logos/sesajal.svg,/assets/brands/logos/sesajal.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Sesajal
brand-15,Simplot,https://www.simplot.com/,/assets/brands/logos/simplot.svg,/assets/brands/logos/simplot.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Simplot
brand-16,Splenda,https://www.splenda.com/,/assets/brands/logos/splenda.svg,/assets/brands/logos/splenda.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Splenda
brand-17,Sweet Garden,https://sweetgarden.com.mx/,/assets/brands/logos/sweet-garden.svg,/assets/brands/logos/sweet-garden.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Sweet Garden
brand-18,Accion,https://www.accion.com.mx/,/assets/brands/logos/accion.svg,/assets/brands/logos/accion.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Accion
brand-19,American Beef,https://americanbeef.com.mx/,/assets/brands/logos/american-beef.svg,/assets/brands/logos/american-beef.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para American Beef
brand-20,Custom Culinary,https://www.customculinary.com/,/assets/brands/logos/custom-culinary.svg,/assets/brands/logos/custom-culinary.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Custom Culinary
brand-21,Ricos,https://ricos.com/,/assets/brands/logos/ricos.svg,/assets/brands/logos/ricos.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Ricos
brand-22,Tyson,https://www.tyson.com/,/assets/brands/logos/tyson.svg,/assets/brands/logos/tyson.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Tyson
brand-23,Valentina,https://salsavalentina.mx/,/assets/brands/logos/valentina.svg,/assets/brands/logos/valentina.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Valentina
brand-24,Ventura Foods,https://www.venturafoods.com/,/assets/brands/logos/ventura-foods.svg,/assets/brands/logos/ventura-foods.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Ventura Foods
brand-25,Bimbo,https://www.grupobimbo.com/,/assets/brands/logos/bimbo.svg,/assets/brands/logos/bimbo.webp,Official Brand Website,yes,yes,Sitio oficial y rutas de assets generadas para Bimbo
